id,title,url,acceptance,difficulty,premium,like,dislike,tag
968,Binary Tree Cameras,https://leetcode.com/problems/binary-tree-cameras,40.8%,Hard,0,1915.0,29.0,dynamic-programming;depth-first-search;tree;binary-tree;
969,Pancake Sorting,https://leetcode.com/problems/pancake-sorting,69.0%,Medium,0,848.0,1072.0,array;sorting;greedy;two-pointers;
970,Powerful Integers,https://leetcode.com/problems/powerful-integers,43.4%,Medium,0,167.0,56.0,hash-table;math;
971,Flip Binary Tree To Match Preorder Traversal,https://leetcode.com/problems/flip-binary-tree-to-match-preorder-traversal,49.9%,Medium,0,586.0,220.0,depth-first-search;tree;binary-tree;
972,Equal Rational Numbers,https://leetcode.com/problems/equal-rational-numbers,42.2%,Hard,0,58.0,164.0,string;math;
973,K Closest Points to Origin,https://leetcode.com/problems/k-closest-points-to-origin,65.1%,Medium,0,3382.0,167.0,array;math;sorting;heap-priority-queue;divide-and-conquer;geometry;quickselect;
974,Subarray Sums Divisible by K,https://leetcode.com/problems/subarray-sums-divisible-by-k,51.7%,Medium,0,1845.0,124.0,array;hash-table;prefix-sum;
975,Odd Even Jump,https://leetcode.com/problems/odd-even-jump,41.1%,Hard,0,1027.0,306.0,array;dynamic-programming;stack;monotonic-stack;ordered-set;
976,Largest Perimeter Triangle,https://leetcode.com/problems/largest-perimeter-triangle,59.5%,Easy,0,584.0,59.0,array;math;sorting;greedy;
977,Squares of a Sorted Array,https://leetcode.com/problems/squares-of-a-sorted-array,71.5%,Easy,0,2710.0,117.0,array;sorting;two-pointers;
978,Longest Turbulent Subarray,https://leetcode.com/problems/longest-turbulent-subarray,46.8%,Medium,0,717.0,135.0,array;dynamic-programming;sliding-window;
979,Distribute Coins in Binary Tree,https://leetcode.com/problems/distribute-coins-in-binary-tree,70.3%,Medium,0,2697.0,87.0,depth-first-search;tree;binary-tree;
980,Unique Paths III,https://leetcode.com/problems/unique-paths-iii,77.2%,Hard,0,1633.0,96.0,array;matrix;bit-manipulation;backtracking;
981,Time Based Key-Value Store,https://leetcode.com/problems/time-based-key-value-store,54.3%,Medium,0,1372.0,158.0,string;hash-table;binary-search;design;
982,Triples with Bitwise AND Equal To Zero,https://leetcode.com/problems/triples-with-bitwise-and-equal-to-zero,56.8%,Hard,0,170.0,165.0,array;hash-table;bit-manipulation;
983,Minimum Cost For Tickets,https://leetcode.com/problems/minimum-cost-for-tickets,63.0%,Medium,0,3152.0,61.0,array;dynamic-programming;
984,String Without AAA or BBB,https://leetcode.com/problems/string-without-aaa-or-bbb,39.2%,Medium,0,332.0,299.0,string;greedy;
985,Sum of Even Numbers After Queries,https://leetcode.com/problems/sum-of-even-numbers-after-queries,60.5%,Easy,0,571.0,196.0,array;simulation;
986,Interval List Intersections,https://leetcode.com/problems/interval-list-intersections,69.0%,Medium,0,2496.0,66.0,array;two-pointers;
987,Vertical Order Traversal of a Binary Tree,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,39.3%,Hard,0,1751.0,2617.0,hash-table;depth-first-search;breadth-first-search;tree;binary-tree;
988,Smallest String Starting From Leaf,https://leetcode.com/problems/smallest-string-starting-from-leaf,47.3%,Medium,0,718.0,131.0,string;depth-first-search;tree;binary-tree;
989,Add to Array-Form of Integer,https://leetcode.com/problems/add-to-array-form-of-integer,45.1%,Easy,0,685.0,104.0,array;math;
990,Satisfiability of Equality Equations,https://leetcode.com/problems/satisfiability-of-equality-equations,47.7%,Medium,0,928.0,9.0,array;string;graph;union-find;
991,Broken Calculator,https://leetcode.com/problems/broken-calculator,49.8%,Medium,0,929.0,134.0,math;greedy;
992,Subarrays with K Different Integers,https://leetcode.com/problems/subarrays-with-k-different-integers,51.6%,Hard,0,1959.0,29.0,array;hash-table;sliding-window;counting;
993,Cousins in Binary Tree,https://leetcode.com/problems/cousins-in-binary-tree,52.4%,Easy,0,1685.0,95.0,depth-first-search;breadth-first-search;tree;binary-tree;
994,Rotting Oranges,https://leetcode.com/problems/rotting-oranges,49.9%,Medium,0,3736.0,222.0,array;breadth-first-search;matrix;
995,Minimum Number of K Consecutive Bit Flips,https://leetcode.com/problems/minimum-number-of-k-consecutive-bit-flips,50.4%,Hard,0,592.0,45.0,array;bit-manipulation;sliding-window;prefix-sum;
996,Number of Squareful Arrays,https://leetcode.com/problems/number-of-squareful-arrays,48.7%,Hard,0,520.0,23.0,array;dynamic-programming;math;bit-manipulation;backtracking;bitmask;
997,Find the Town Judge,https://leetcode.com/problems/find-the-town-judge,49.9%,Easy,0,1775.0,138.0,array;hash-table;graph;
998,Maximum Binary Tree II,https://leetcode.com/problems/maximum-binary-tree-ii,64.5%,Medium,0,283.0,546.0,tree;binary-tree;
999,Available Captures for Rook,https://leetcode.com/problems/available-captures-for-rook,67.7%,Easy,0,350.0,520.0,array;matrix;simulation;
1000,Minimum Cost to Merge Stones,https://leetcode.com/problems/minimum-cost-to-merge-stones,41.0%,Hard,0,1055.0,65.0,array;dynamic-programming;
1001,Grid Illumination,https://leetcode.com/problems/grid-illumination,35.8%,Hard,0,300.0,85.0,array;hash-table;
1002,Find Common Characters,https://leetcode.com/problems/find-common-characters,68.7%,Easy,0,1651.0,152.0,array;string;hash-table;
1003,Check If Word Is Valid After Substitutions,https://leetcode.com/problems/check-if-word-is-valid-after-substitutions,57.1%,Medium,0,407.0,404.0,string;stack;
1004,Max Consecutive Ones III,https://leetcode.com/problems/max-consecutive-ones-iii,60.8%,Medium,0,2750.0,41.0,array;binary-search;sliding-window;prefix-sum;
1005,Maximize Sum Of Array After K Negations,https://leetcode.com/problems/maximize-sum-of-array-after-k-negations,52.3%,Easy,0,646.0,61.0,array;sorting;greedy;
1006,Clumsy Factorial,https://leetcode.com/problems/clumsy-factorial,54.2%,Medium,0,134.0,185.0,math;stack;simulation;
1007,Minimum Domino Rotations For Equal Row,https://leetcode.com/problems/minimum-domino-rotations-for-equal-row,51.0%,Medium,0,1329.0,196.0,array;greedy;
1008,Construct Binary Search Tree from Preorder Traversal,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal,78.9%,Medium,0,2141.0,50.0,array;tree;binary-tree;stack;binary-search-tree;monotonic-stack;
1009,Complement of Base 10 Integer,https://leetcode.com/problems/complement-of-base-10-integer,61.2%,Easy,0,488.0,45.0,bit-manipulation;
1010,Pairs of Songs With Total Durations Divisible by 60,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,51.3%,Medium,0,1530.0,88.0,array;hash-table;counting;
1011,Capacity To Ship Packages Within D Days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,60.7%,Medium,0,2427.0,61.0,array;greedy;binary-search;
1012,Numbers With Repeated Digits,https://leetcode.com/problems/numbers-with-repeated-digits,38.0%,Hard,0,310.0,55.0,dynamic-programming;math;
1013,Partition Array Into Three Parts With Equal Sum,https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum,46.7%,Easy,0,785.0,93.0,array;greedy;
1014,Best Sightseeing Pair,https://leetcode.com/problems/best-sightseeing-pair,53.2%,Medium,0,679.0,27.0,array;dynamic-programming;
1015,Smallest Integer Divisible by K,https://leetcode.com/problems/smallest-integer-divisible-by-k,42.0%,Medium,0,392.0,397.0,hash-table;math;
1016,Binary String With Substrings Representing 1 To N,https://leetcode.com/problems/binary-string-with-substrings-representing-1-to-n,58.5%,Medium,0,191.0,418.0,string;
1017,Convert to Base -2,https://leetcode.com/problems/convert-to-base-2,59.4%,Medium,0,268.0,196.0,math;
1018,Binary Prefix Divisible By 5,https://leetcode.com/problems/binary-prefix-divisible-by-5,47.5%,Easy,0,420.0,123.0,array;
1019,Next Greater Node In Linked List,https://leetcode.com/problems/next-greater-node-in-linked-list,58.4%,Medium,0,1535.0,80.0,array;stack;linked-list;monotonic-stack;
1020,Number of Enclaves,https://leetcode.com/problems/number-of-enclaves,59.9%,Medium,0,613.0,28.0,array;depth-first-search;breadth-first-search;matrix;union-find;
1021,Remove Outermost Parentheses,https://leetcode.com/problems/remove-outermost-parentheses,79.4%,Easy,0,907.0,935.0,string;stack;
1022,Sum of Root To Leaf Binary Numbers,https://leetcode.com/problems/sum-of-root-to-leaf-binary-numbers,72.0%,Easy,0,1371.0,98.0,depth-first-search;tree;binary-tree;
1023,Camelcase Matching,https://leetcode.com/problems/camelcase-matching,57.9%,Medium,0,403.0,181.0,string;two-pointers;trie;string-matching;
1024,Video Stitching,https://leetcode.com/problems/video-stitching,49.1%,Medium,0,823.0,39.0,array;dynamic-programming;greedy;
1025,Divisor Game,https://leetcode.com/problems/divisor-game,66.3%,Easy,0,918.0,2375.0,dynamic-programming;math;game-theory;brainteaser;
1026,Maximum Difference Between Node and Ancestor,https://leetcode.com/problems/maximum-difference-between-node-and-ancestor,70.2%,Medium,0,1375.0,42.0,depth-first-search;tree;binary-tree;
1027,Longest Arithmetic Subsequence,https://leetcode.com/problems/longest-arithmetic-subsequence,49.1%,Medium,0,1451.0,81.0,array;hash-table;dynamic-programming;binary-search;
1028,Recover a Tree From Preorder Traversal,https://leetcode.com/problems/recover-a-tree-from-preorder-traversal,71.4%,Hard,0,731.0,26.0,string;depth-first-search;tree;binary-tree;
1029,Two City Scheduling,https://leetcode.com/problems/two-city-scheduling,58.6%,Medium,0,1971.0,205.0,array;sorting;greedy;
1030,Matrix Cells in Distance Order,https://leetcode.com/problems/matrix-cells-in-distance-order,68.5%,Easy,0,331.0,163.0,array;math;sorting;matrix;geometry;
1031,Maximum Sum of Two Non-Overlapping Subarrays,https://leetcode.com/problems/maximum-sum-of-two-non-overlapping-subarrays,59.0%,Medium,0,1137.0,55.0,array;dynamic-programming;sliding-window;
1032,Stream of Characters,https://leetcode.com/problems/stream-of-characters,48.7%,Hard,0,861.0,123.0,array;string;design;trie;data-stream;
1033,Moving Stones Until Consecutive,https://leetcode.com/problems/moving-stones-until-consecutive,43.9%,Easy,0,119.0,545.0,math;brainteaser;
1034,Coloring A Border,https://leetcode.com/problems/coloring-a-border,46.3%,Medium,0,222.0,405.0,array;depth-first-search;breadth-first-search;matrix;
1035,Uncrossed Lines,https://leetcode.com/problems/uncrossed-lines,56.5%,Medium,0,1245.0,24.0,array;dynamic-programming;
1036,Escape a Large Maze,https://leetcode.com/problems/escape-a-large-maze,34.3%,Hard,0,325.0,122.0,array;hash-table;depth-first-search;breadth-first-search;
1037,Valid Boomerang,https://leetcode.com/problems/valid-boomerang,37.4%,Easy,0,171.0,306.0,math;geometry;
1038,Binary Search Tree to Greater Sum Tree,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree,83.3%,Medium,0,1754.0,117.0,depth-first-search;tree;binary-tree;binary-search-tree;
1039,Minimum Score Triangulation of Polygon,https://leetcode.com/problems/minimum-score-triangulation-of-polygon,51.1%,Medium,0,728.0,95.0,array;dynamic-programming;
1040,Moving Stones Until Consecutive II,https://leetcode.com/problems/moving-stones-until-consecutive-ii,54.7%,Medium,0,256.0,441.0,array;math;sorting;two-pointers;
1041,Robot Bounded In Circle,https://leetcode.com/problems/robot-bounded-in-circle,54.8%,Medium,0,1449.0,395.0,string;math;simulation;
1042,Flower Planting With No Adjacent,https://leetcode.com/problems/flower-planting-with-no-adjacent,49.1%,Medium,0,613.0,585.0,depth-first-search;breadth-first-search;graph;
1043,Partition Array for Maximum Sum,https://leetcode.com/problems/partition-array-for-maximum-sum,68.4%,Medium,0,1450.0,163.0,array;dynamic-programming;
1044,Longest Duplicate Substring,https://leetcode.com/problems/longest-duplicate-substring,31.0%,Hard,0,926.0,266.0,string;binary-search;sliding-window;hash-function;rolling-hash;suffix-array;
1046,Last Stone Weight,https://leetcode.com/problems/last-stone-weight,62.5%,Easy,0,1500.0,39.0,array;heap-priority-queue;
1047,Remove All Adjacent Duplicates In String,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,71.6%,Easy,0,1980.0,114.0,string;stack;
1048,Longest String Chain,https://leetcode.com/problems/longest-string-chain,56.3%,Medium,0,2197.0,116.0,array;string;hash-table;dynamic-programming;two-pointers;
1049,Last Stone Weight II,https://leetcode.com/problems/last-stone-weight-ii,47.7%,Medium,0,1421.0,53.0,array;dynamic-programming;
1051,Height Checker,https://leetcode.com/problems/height-checker,73.2%,Easy,0,133.0,20.0,array;sorting;counting-sort;
1052,Grumpy Bookstore Owner,https://leetcode.com/problems/grumpy-bookstore-owner,56.1%,Medium,0,841.0,77.0,array;sliding-window;
1053,Previous Permutation With One Swap,https://leetcode.com/problems/previous-permutation-with-one-swap,51.8%,Medium,0,66.0,8.0,array;greedy;
1054,Distant Barcodes,https://leetcode.com/problems/distant-barcodes,44.6%,Medium,0,634.0,29.0,array;hash-table;sorting;greedy;heap-priority-queue;counting;
1055,Shortest Way to Form String,https://leetcode.com/problems/shortest-way-to-form-string,57.5%,Medium,1,,,string;dynamic-programming;greedy;
1056,Confusing Number,https://leetcode.com/problems/confusing-number,46.6%,Easy,1,,,math;
1057,Campus Bikes,https://leetcode.com/problems/campus-bikes,58.0%,Medium,1,,,array;sorting;greedy;
1058,Minimize Rounding Error to Meet Target,https://leetcode.com/problems/minimize-rounding-error-to-meet-target,44.0%,Medium,1,,,array;string;math;greedy;
1059,All Paths from Source Lead to Destination,https://leetcode.com/problems/all-paths-from-source-lead-to-destination,43.8%,Medium,1,,,depth-first-search;graph;
1060,Missing Element in Sorted Array,https://leetcode.com/problems/missing-element-in-sorted-array,55.2%,Medium,1,,,array;binary-search;
1061,Lexicographically Smallest Equivalent String,https://leetcode.com/problems/lexicographically-smallest-equivalent-string,67.0%,Medium,1,,,string;union-find;
1062,Longest Repeating Substring,https://leetcode.com/problems/longest-repeating-substring,58.8%,Medium,1,,,string;dynamic-programming;binary-search;hash-function;rolling-hash;suffix-array;
1063,Number of Valid Subarrays,https://leetcode.com/problems/number-of-valid-subarrays,72.2%,Hard,1,,,array;stack;monotonic-stack;
1064,Fixed Point,https://leetcode.com/problems/fixed-point,64.1%,Easy,1,,,array;binary-search;
1065,Index Pairs of a String,https://leetcode.com/problems/index-pairs-of-a-string,61.1%,Easy,1,,,array;string;sorting;trie;
1066,Campus Bikes II,https://leetcode.com/problems/campus-bikes-ii,54.2%,Medium,1,,,array;dynamic-programming;bit-manipulation;backtracking;bitmask;
1067,Digit Count in Range,https://leetcode.com/problems/digit-count-in-range,41.8%,Hard,1,,,dynamic-programming;math;
1071,Greatest Common Divisor of Strings,https://leetcode.com/problems/greatest-common-divisor-of-strings,51.9%,Easy,0,883.0,203.0,string;math;
1072,Flip Columns For Maximum Number of Equal Rows,https://leetcode.com/problems/flip-columns-for-maximum-number-of-equal-rows,62.0%,Medium,0,400.0,32.0,array;hash-table;matrix;
1073,Adding Two Negabinary Numbers,https://leetcode.com/problems/adding-two-negabinary-numbers,34.8%,Medium,0,169.0,75.0,array;math;
1074,Number of Submatrices That Sum to Target,https://leetcode.com/problems/number-of-submatrices-that-sum-to-target,65.3%,Hard,0,1242.0,33.0,array;hash-table;matrix;prefix-sum;
1078,Occurrences After Bigram,https://leetcode.com/problems/occurrences-after-bigram,64.7%,Easy,0,265.0,258.0,string;
1079,Letter Tile Possibilities,https://leetcode.com/problems/letter-tile-possibilities,76.1%,Medium,0,1189.0,41.0,string;backtracking;
1080,Insufficient Nodes in Root to Leaf Paths,https://leetcode.com/problems/insufficient-nodes-in-root-to-leaf-paths,50.5%,Medium,0,286.0,400.0,depth-first-search;tree;binary-tree;
1081,Smallest Subsequence of Distinct Characters,https://leetcode.com/problems/smallest-subsequence-of-distinct-characters,53.8%,Medium,0,1040.0,119.0,string;greedy;stack;monotonic-stack;
1085,Sum of Digits in the Minimum Number,https://leetcode.com/problems/sum-of-digits-in-the-minimum-number,75.4%,Easy,1,,,array;math;
1086,High Five,https://leetcode.com/problems/high-five,76.5%,Easy,1,,,array;hash-table;sorting;
1087,Brace Expansion,https://leetcode.com/problems/brace-expansion,63.5%,Medium,1,,,string;breadth-first-search;backtracking;
1088,Confusing Number II,https://leetcode.com/problems/confusing-number-ii,46.1%,Hard,1,,,math;backtracking;
1089,Duplicate Zeros,https://leetcode.com/problems/duplicate-zeros,51.5%,Easy,0,1090.0,370.0,array;two-pointers;
1090,Largest Values From Labels,https://leetcode.com/problems/largest-values-from-labels,60.4%,Medium,0,213.0,480.0,array;hash-table;sorting;greedy;counting;
1091,Shortest Path in Binary Matrix,https://leetcode.com/problems/shortest-path-in-binary-matrix,40.7%,Medium,0,1368.0,83.0,array;breadth-first-search;matrix;
1092,Shortest Common Supersequence,https://leetcode.com/problems/shortest-common-supersequence,54.2%,Hard,0,1262.0,31.0,string;dynamic-programming;
1093,Statistics from a Large Sample,https://leetcode.com/problems/statistics-from-a-large-sample,47.6%,Medium,0,20.0,25.0,math;two-pointers;probability-and-statistics;
1094,Car Pooling,https://leetcode.com/problems/car-pooling,59.6%,Medium,0,1370.0,42.0,array;sorting;heap-priority-queue;simulation;prefix-sum;
1095,Find in Mountain Array,https://leetcode.com/problems/find-in-mountain-array,36.1%,Hard,0,600.0,44.0,array;binary-search;interactive;
1096,Brace Expansion II,https://leetcode.com/problems/brace-expansion-ii,63.0%,Hard,0,294.0,174.0,string;breadth-first-search;stack;backtracking;
1099,Two Sum Less Than K,https://leetcode.com/problems/two-sum-less-than-k,60.6%,Easy,1,,,array;sorting;binary-search;two-pointers;
1100,Find K-Length Substrings With No Repeated Characters,https://leetcode.com/problems/find-k-length-substrings-with-no-repeated-characters,73.2%,Medium,1,,,string;hash-table;sliding-window;
1101,The Earliest Moment When Everyone Become Friends,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends,67.8%,Medium,1,,,array;union-find;
1102,Path With Maximum Minimum Value,https://leetcode.com/problems/path-with-maximum-minimum-value,51.4%,Medium,1,,,array;depth-first-search;breadth-first-search;matrix;heap-priority-queue;union-find;
1103,Distribute Candies to People,https://leetcode.com/problems/distribute-candies-to-people,63.4%,Easy,0,580.0,158.0,math;simulation;
1104,Path In Zigzag Labelled Binary Tree,https://leetcode.com/problems/path-in-zigzag-labelled-binary-tree,73.7%,Medium,0,719.0,209.0,math;tree;binary-tree;
1105,Filling Bookcase Shelves,https://leetcode.com/problems/filling-bookcase-shelves,57.7%,Medium,0,967.0,58.0,array;dynamic-programming;
1106,Parsing A Boolean Expression,https://leetcode.com/problems/parsing-a-boolean-expression,59.7%,Hard,0,411.0,22.0,string;stack;recursion;
1108,Defanging an IP Address,https://leetcode.com/problems/defanging-an-ip-address,88.5%,Easy,0,787.0,1272.0,string;
1109,Corporate Flight Bookings,https://leetcode.com/problems/corporate-flight-bookings,54.6%,Medium,0,750.0,128.0,array;prefix-sum;
1110,Delete Nodes And Return Forest,https://leetcode.com/problems/delete-nodes-and-return-forest,68.2%,Medium,0,1998.0,59.0,depth-first-search;tree;binary-tree;
1111,Maximum Nesting Depth of Two Valid Parentheses Strings,https://leetcode.com/problems/maximum-nesting-depth-of-two-valid-parentheses-strings,72.7%,Medium,0,218.0,985.0,string;stack;
1118,Number of Days in a Month,https://leetcode.com/problems/number-of-days-in-a-month,57.3%,Easy,1,,,math;
1119,Remove Vowels from a String,https://leetcode.com/problems/remove-vowels-from-a-string,90.5%,Easy,1,,,string;
1120,Maximum Average Subtree,https://leetcode.com/problems/maximum-average-subtree,64.5%,Medium,1,,,depth-first-search;tree;binary-tree;
1121,Divide Array Into Increasing Sequences,https://leetcode.com/problems/divide-array-into-increasing-sequences,59.0%,Hard,1,,,array;greedy;
1122,Relative Sort Array,https://leetcode.com/problems/relative-sort-array,67.9%,Easy,0,1221.0,82.0,array;hash-table;sorting;counting-sort;
1123,Lowest Common Ancestor of Deepest Leaves,https://leetcode.com/problems/lowest-common-ancestor-of-deepest-leaves,68.6%,Medium,0,783.0,659.0,hash-table;depth-first-search;breadth-first-search;tree;binary-tree;
1124,Longest Well-Performing Interval,https://leetcode.com/problems/longest-well-performing-interval,33.5%,Medium,0,695.0,77.0,array;hash-table;stack;prefix-sum;monotonic-stack;
1125,Smallest Sufficient Team,https://leetcode.com/problems/smallest-sufficient-team,47.2%,Hard,0,531.0,10.0,array;dynamic-programming;bit-manipulation;bitmask;
1128,Number of Equivalent Domino Pairs,https://leetcode.com/problems/number-of-equivalent-domino-pairs,45.9%,Easy,0,362.0,181.0,array;hash-table;counting;
1129,Shortest Path with Alternating Colors,https://leetcode.com/problems/shortest-path-with-alternating-colors,40.7%,Medium,0,793.0,42.0,breadth-first-search;graph;
1130,Minimum Cost Tree From Leaf Values,https://leetcode.com/problems/minimum-cost-tree-from-leaf-values,67.5%,Medium,0,2358.0,173.0,dynamic-programming;greedy;stack;monotonic-stack;
1131,Maximum of Absolute Value Expression,https://leetcode.com/problems/maximum-of-absolute-value-expression,51.3%,Medium,0,352.0,277.0,array;math;
1133,Largest Unique Number,https://leetcode.com/problems/largest-unique-number,67.2%,Easy,1,,,array;hash-table;sorting;
1134,Armstrong Number,https://leetcode.com/problems/armstrong-number,78.5%,Easy,1,,,math;
1135,Connecting Cities With Minimum Cost,https://leetcode.com/problems/connecting-cities-with-minimum-cost,60.1%,Medium,1,,,heap-priority-queue;graph;union-find;minimum-spanning-tree;
1136,Parallel Courses,https://leetcode.com/problems/parallel-courses,60.7%,Medium,1,,,graph;topological-sort;
1137,N-th Tribonacci Number,https://leetcode.com/problems/n-th-tribonacci-number,55.8%,Easy,0,682.0,59.0,dynamic-programming;math;memoization;
1138,Alphabet Board Path,https://leetcode.com/problems/alphabet-board-path,51.7%,Medium,0,499.0,118.0,string;hash-table;
1139,Largest 1-Bordered Square,https://leetcode.com/problems/largest-1-bordered-square,48.8%,Medium,0,355.0,67.0,array;dynamic-programming;matrix;
1140,Stone Game II,https://leetcode.com/problems/stone-game-ii,64.6%,Medium,0,916.0,206.0,array;dynamic-programming;math;game-theory;
1143,Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence,58.8%,Medium,0,3492.0,41.0,string;dynamic-programming;
1144,Decrease Elements To Make Array Zigzag,https://leetcode.com/problems/decrease-elements-to-make-array-zigzag,46.5%,Medium,0,203.0,127.0,array;greedy;
1145,Binary Tree Coloring Game,https://leetcode.com/problems/binary-tree-coloring-game,51.1%,Medium,0,739.0,151.0,depth-first-search;tree;binary-tree;
1146,Snapshot Array,https://leetcode.com/problems/snapshot-array,37.0%,Medium,0,955.0,173.0,array;hash-table;binary-search;design;
1147,Longest Chunked Palindrome Decomposition,https://leetcode.com/problems/longest-chunked-palindrome-decomposition,59.8%,Hard,0,298.0,19.0,string;dynamic-programming;greedy;two-pointers;hash-function;rolling-hash;
1150,Check If a Number Is Majority Element in a Sorted Array,https://leetcode.com/problems/check-if-a-number-is-majority-element-in-a-sorted-array,57.1%,Easy,1,,,array;binary-search;
1151,Minimum Swaps to Group All 1's Together,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together,59.1%,Medium,1,,,array;sliding-window;
1152,Analyze User Website Visit Pattern,https://leetcode.com/problems/analyze-user-website-visit-pattern,43.2%,Medium,1,,,array;hash-table;sorting;
1153,String Transforms Into Another String,https://leetcode.com/problems/string-transforms-into-another-string,35.7%,Hard,1,,,string;hash-table;
1154,Day of the Year,https://leetcode.com/problems/day-of-the-year,49.7%,Easy,0,170.0,239.0,string;math;
1155,Number of Dice Rolls With Target Sum,https://leetcode.com/problems/number-of-dice-rolls-with-target-sum,47.7%,Medium,0,1422.0,65.0,dynamic-programming;
1156,Swap For Longest Repeated Character Substring,https://leetcode.com/problems/swap-for-longest-repeated-character-substring,47.1%,Medium,0,529.0,52.0,string;sliding-window;
1157,Online Majority Element In Subarray,https://leetcode.com/problems/online-majority-element-in-subarray,41.4%,Hard,0,346.0,39.0,array;binary-search;design;segment-tree;binary-indexed-tree;
1160,Find Words That Can Be Formed by Characters,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters,67.8%,Easy,0,695.0,103.0,array;string;hash-table;
1161,Maximum Level Sum of a Binary Tree,https://leetcode.com/problems/maximum-level-sum-of-a-binary-tree,67.7%,Medium,0,943.0,45.0,breadth-first-search;tree;binary-tree;
1162,As Far from Land as Possible,https://leetcode.com/problems/as-far-from-land-as-possible,46.2%,Medium,0,1007.0,40.0,array;dynamic-programming;breadth-first-search;matrix;
1163,Last Substring in Lexicographical Order,https://leetcode.com/problems/last-substring-in-lexicographical-order,36.1%,Hard,0,350.0,379.0,string;two-pointers;
1165,Single-Row Keyboard,https://leetcode.com/problems/single-row-keyboard,85.5%,Easy,1,,,string;hash-table;
1166,Design File System,https://leetcode.com/problems/design-file-system,59.0%,Medium,1,,,string;hash-table;design;trie;
1167,Minimum Cost to Connect Sticks,https://leetcode.com/problems/minimum-cost-to-connect-sticks,65.5%,Medium,1,,,array;greedy;heap-priority-queue;
1168,Optimize Water Distribution in a Village,https://leetcode.com/problems/optimize-water-distribution-in-a-village,61.5%,Hard,1,,,graph;union-find;minimum-spanning-tree;
1169,Invalid Transactions,https://leetcode.com/problems/invalid-transactions,30.5%,Medium,0,184.0,1069.0,array;string;hash-table;sorting;
1170,Compare Strings by Frequency of the Smallest Character,https://leetcode.com/problems/compare-strings-by-frequency-of-the-smallest-character,60.6%,Medium,0,393.0,828.0,array;string;hash-table;sorting;binary-search;
1171,Remove Zero Sum Consecutive Nodes from Linked List,https://leetcode.com/problems/remove-zero-sum-consecutive-nodes-from-linked-list,41.7%,Medium,0,992.0,60.0,hash-table;linked-list;
1172,Dinner Plate Stacks,https://leetcode.com/problems/dinner-plate-stacks,36.8%,Hard,0,254.0,38.0,hash-table;stack;design;heap-priority-queue;
1175,Prime Arrangements,https://leetcode.com/problems/prime-arrangements,51.9%,Easy,0,178.0,304.0,math;
1176,Diet Plan Performance,https://leetcode.com/problems/diet-plan-performance,53.7%,Easy,1,,,array;sliding-window;
1177,Can Make Palindrome from Substring,https://leetcode.com/problems/can-make-palindrome-from-substring,36.4%,Medium,0,395.0,201.0,string;hash-table;bit-manipulation;prefix-sum;
1178,Number of Valid Words for Each Puzzle,https://leetcode.com/problems/number-of-valid-words-for-each-puzzle,40.6%,Hard,0,352.0,36.0,array;string;hash-table;bit-manipulation;trie;
1180,Count Substrings with Only One Distinct Letter,https://leetcode.com/problems/count-substrings-with-only-one-distinct-letter,78.1%,Easy,1,,,string;math;
1181,Before and After Puzzle,https://leetcode.com/problems/before-and-after-puzzle,44.6%,Medium,1,,,array;string;hash-table;sorting;
1182,Shortest Distance to Target Color,https://leetcode.com/problems/shortest-distance-to-target-color,54.2%,Medium,1,,,array;dynamic-programming;binary-search;
1183,Maximum Number of Ones,https://leetcode.com/problems/maximum-number-of-ones,58.3%,Hard,1,,,greedy;heap-priority-queue;
1184,Distance Between Bus Stops,https://leetcode.com/problems/distance-between-bus-stops,53.9%,Easy,0,398.0,46.0,array;
1185,Day of the Week,https://leetcode.com/problems/day-of-the-week,60.2%,Easy,0,180.0,1600.0,math;
1186,Maximum Subarray Sum with One Deletion,https://leetcode.com/problems/maximum-subarray-sum-with-one-deletion,39.7%,Medium,0,910.0,34.0,array;dynamic-programming;
1187,Make Array Strictly Increasing,https://leetcode.com/problems/make-array-strictly-increasing,43.5%,Hard,0,445.0,11.0,array;dynamic-programming;binary-search;
1189,Maximum Number of Balloons,https://leetcode.com/problems/maximum-number-of-balloons,62.0%,Easy,0,609.0,50.0,string;hash-table;counting;
1190,Reverse Substrings Between Each Pair of Parentheses,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,64.8%,Medium,0,860.0,28.0,string;stack;
1191,K-Concatenation Maximum Sum,https://leetcode.com/problems/k-concatenation-maximum-sum,24.7%,Medium,0,618.0,55.0,array;dynamic-programming;
1192,Critical Connections in a Network,https://leetcode.com/problems/critical-connections-in-a-network,51.6%,Hard,0,2669.0,127.0,depth-first-search;graph;biconnected-component;
